Name,Comment,Time,Likes,Reply Count,Subjectivity,Polarity,Analysis
@scR_99.,im the dum here cuz i watched this shit,2024-02-13T20:42:19Z,3,0,0.8,-0.2,Negative
@HabibHandiCraft,,2023-12-19T12:10:27Z,0,0,0.0,0.0,Neutral
@xeninn,yooi WTF is going on with you,2023-12-10T15:54:03Z,0,0,1.0,-0.5,Negative
@OfficialMokee,do you even know what you re doing   ,2023-09-10T14:23:02Z,4,2,0.0,0.0,Neutral
@xeninn,shes m d,2023-12-10T15:54:24Z,0,,0.0,0.0,Neutral
@tinkerersagar,she is saying that after refreshing the link will become clickable but in video itself it is not working  ,2024-02-09T05:33:41Z,0,,1.0,0.5,Positive
@annango4,OMG  thank you so much  I just got all my important emails back to my account  This video is very helpful   ,2024-04-26T03:12:44Z,0,0,0.375,0.2,Positive
@phanikumar.youtube11,It Worked  Thank you,2024-04-25T06:30:00Z,0,0,0.0,0.0,Neutral
@CambodiaCambodia-tj4oe,Sok kng 1 30,2024-04-19T04:46:32Z,0,0,0.0,0.0,Neutral
@loskokosos2226,it works perfectly  thanks a lot ,2024-04-09T10:04:15Z,0,0,0.2,0.2,Positive
@vannity416,this worked omg  i was stressing  THANK YOU  on 99  just change the password and it works u get all your emails back gradually,2024-03-23T07:10:36Z,0,0,0.0,0.0,Neutral
@karmagamechanger5517,I don t have bin   ,2024-03-21T22:18:57Z,0,1,0.0,0.0,Neutral
@parkerlewis7924,It s called trash,2024-04-25T18:17:39Z,0,,0.0,0.0,Neutral
@AmmineniHarthikChowdary,I have deleted sent mail how to recover it,2024-03-21T05:09:50Z,0,0,0.0,0.0,Neutral
@charlesgannon1832,Thank you so much  I messed up and my boss was going to kill me  My savior ,2024-03-14T19:33:00Z,0,0,0.2,0.2,Positive
@2244tarzan,Thank you  i just recovered over 1400 emails that i deleted    you are a great help  ,2024-03-13T01:37:29Z,0,0,0.75,0.8,Positive
@Nacwx22,Idiot video,2024-03-12T11:21:40Z,1,0,0.8,-0.8,Negative
@kemawfeleke6660,thank you so much helpful video,2024-03-12T05:44:50Z,0,0,0.2,0.2,Positive
@cohall46,1000 Thank You s for this video  I went through all of the steps and hopefully in 24 hours I will get all of my deleted  oops  emails back ,2024-03-02T22:06:21Z,0,0,0.0,0.0,Neutral
@GillettePretPakket,You saved my ass  Thank you so much  otherwise i didnt get my tickets for a festival   ,2024-03-01T17:37:16Z,0,0,0.2,0.2,Positive
@melissadubois7384,AWESOME  Thank you so much  I got my emails back too  whew ,2024-03-01T15:02:14Z,0,0,0.39999999999999997,0.39999999999999997,Positive
@-Jamie,Recovery result Unfortunately  your missing emails were permanently deleted  and we can t get them back   Great  ,2024-02-26T04:30:39Z,1,1,0.45,0.025000000000000022,Positive
@GillettePretPakket,Even when you changed youre password by the missing site ,2024-03-01T17:31:20Z,0,,0.05,-0.2,Negative
@charlesjohnson154,This video doesn t show a person how to retrieve emails that have been deleted after 30 days  In fact  email can t be recovered after 30 days  What a waste of time making this video ,2024-02-23T14:00:32Z,7,1,0.0,-0.2,Negative
